PartyID,EntityID
1,Q31113
2,Q5100694
3,Q837802
4,Q11056847
5,Q10874641
6,Q11363400
7,Q56065195
8,Q56065196
9,Q56065197
10,Q5100593
11,Q56065198
12,Q56065199
13,Q56065200
14,Q56065202
15,Q835664
16,Q903822
17,Q56065203
18,Q5099832
19,Q56065204
20,Q56065205
21,Q56065207
22,Q56065209
23,Q56065210
24,Q56065211
25,Q56065213
26,Q56065212
27,Q56065215
28,Q56065216
29,Q56065217
30,Q56065219
31,Q56065224
32,Q56065225
33,Q56065226
34,Q56065227
35,Q56065228
36,Q56065229
37,Q56065231
38,Q56065232
39,Q56065234
40,Q56065233
41,Q56065235
42,Q700756
43,Q56065237
44,Q56065238
45,Q11363322
46,Q56065239
47,Q56065240
48,Q56065241
49,Q56065242
50,Q56065243
51,Q56065246
52,Q56065245
53,Q56065254
54,Q56065255
55,Q56065256
56,Q11583333
57,Q56065257
58,Q56065258
59,Q10876508
60,Q56065259
61,Q56065260
62,Q56065261
63,Q56065263
64,Q56065264
65,Q56065268
66,Q10891533
67,Q56065269
68,Q56065271
69,Q56065272
70,Q56065273
71,Q56065274
72,Q56065275
73,Q5124528
74,Q2284361
75,Q56065277
76,Q56065278
77,Q56065279
78,Q10889970
79,Q713302
80,Q56065282
81,Q56065283
82,Q711428
83,Q56065284
84,Q56065285
85,Q11128822
86,Q11081801
87,Q56065286
88,Q56065288
89,Q56065289
90,Q1442482
91,Q56065290
92,Q56065291
93,Q56065293
94,Q11411997
95,Q706834
96,Q56065294
97,Q7676563
98,Q30944099
99,Q10954414
100,Q56065295
101,Q18577524
102,Q56065296
103,Q56065297
104,Q56065298
105,Q56065300
106,Q718487
107,Q56065302
108,Q56065301
109,Q54810904
110,Q6143453
111,Q56065303
112,Q56065304
113,Q10876516
114,Q10873853
115,Q56065306
116,Q10915471
117,Q56065307
118,Q20063813
119,Q56065309
120,Q56065311
121,Q137437
122,Q56065312
123,Q56065314
124,Q56065316
125,Q56065315
126,Q56065317
127,Q11411990
128,Q7676535
129,Q56065318
130,Q14476781
131,Q56065319
132,Q10938213
133,Q5888629
134,Q22100049
135,Q56065320
136,Q56065321
137,Q10869073
138,Q56065323
139,Q56065324
140,Q56065325
141,Q713062
142,Q56065326
143,Q56065327
144,Q56065328
145,Q10883578
146,Q56065329
147,Q703726
148,Q56065333
149,Q56065335
150,Q56065336
151,Q56065337
152,Q56065338
153,Q10883563
154,Q56065340
155,Q56065341
156,Q56065344
157,Q6726298
158,Q56065345
159,Q56065346
160,Q56065347
161,Q56065348
162,Q56065349
163,Q10933395
164,Q56065350
165,Q56065351
166,Q10915306
167,Q56065352
168,Q56065353
169,Q56065354
170,Q56065356
171,Q56065358
172,Q56065357
173,Q56065360
174,Q56065361
175,Q56065363
176,Q56065362
177,Q56065365
178,Q56065366
179,Q56065367
180,Q56065368
181,Q56065369
182,Q56065371
183,Q56065370
184,Q56065373
185,Q56065378
186,Q56065374
187,Q10876225
188,Q56065375
189,Q10888869
190,Q15903719
191,Q56065376
192,Q56065377
193,Q56065381
194,Q56065382
195,Q10876454
196,Q56065383
197,Q56065384
198,Q56065385
199,Q10883566
200,Q56065386
201,Q56065400
202,Q101560334
203,Q56065395
204,Q56065390
205,Q56065391
206,Q56065392
207,Q56065393
208,Q56065401
209,Q56065402
210,Q56065403
211,Q56065404
212,Q56065407
213,Q56065406
214,Q56065409
215,Q56065410
216,Q56065411
217,Q56065413
218,Q56065412
219,Q56065414
220,Q56065415
221,Q56065417
222,Q56065418
223,Q56065419
224,Q56065420
225,Q56065421
226,Q56065422
227,Q56065425
228,Q56065424
229,Q56065427
230,Q56065426
231,Q56065428
232,Q56065429
233,Q56065430
234,Q18652018
235,Q56065431
236,Q56065432
237,Q56065434
238,Q56065435
239,Q56065437
240,Q56065436
241,Q56065438
242,Q56065439
243,Q56065440
244,Q56065441
245,Q56065442
246,Q56065443
247,Q56065444
248,Q56065448
249,Q56065449
250,Q56065451
251,Q18228491
252,Q56065457
253,Q56065452
254,Q30946373
255,Q56065455
256,Q17500282
257,Q30942330
258,Q20064120
259,Q18110141
260,Q56065453
261,Q56065454
262,Q56065458
263,Q56065459
264,Q56065462
265,Q56065463
266,Q22098543
267,Q19825637
268,Q19684454
269,Q19851397
270,Q56065464
271,Q56065465
272,Q19850050
273,Q22100036
274,Q56065468
275,Q56065466
276,Q56065469
277,Q21449295
278,Q56065471
279,Q56065470
280,Q56065472
281,Q21449280
282,Q56065473
283,Q21449293
284,Q56065476
285,Q56065477
286,Q56065478
287,Q56065480
288,Q56065481
289,Q56065483
290,Q56065484
291,Q56065485
292,Q56065486
293,Q56065487
294,Q56065488
295,Q56065489
296,Q56065479
297,Q56065490
298,Q56065505
299,Q56065492
300,Q56065493
301,Q56065507
302,Q56065508
303,Q17500520
304,Q56065511
305,Q56065512
306,Q56065516
307,Q56065513
308,Q56065514
309,Q56065515
310,Q56065518
311,Q56065517
312,Q30948173
313,Q56065520
314,Q56065521
315,Q30943919
316,Q56065522
317,Q56065523
318,Q56065524
319,Q56065525
320,Q56065527
321,Q56065530
322,Q56065529
323,Q56065531
324,Q56065535
325,Q56065533
326,Q56065536
327,Q48928403
328,Q56065537
329,Q56065539
330,Q56065540
331,Q56065542
332,Q56065541
333,Q56065543
334,Q56065545
335,Q56065546
336,Q56065548
337,Q56065547
338,Q60995813
339,Q101561603
340,Q101561827
341,Q60191954
342,Q82969347
343,Q101562423
344,
345,
346,Q30948170
347,
348,Q54290615
349,Q67931855
350,Q66029902
351,
352,Q67508263
353,Q13429059
354,
355,Q78077706
356,Q67934789
357,Q55695827
358,
359,
360,
361,
362,
363,
364,
365,Q74828615
366,
367,Q18652318
368,Q97301488
369,
370,
371,
372,
999,
